,0
2000-01-04,0.0
2000-01-05,18350.0
2000-01-06,8000.0
2000-01-07,-4200.0
2000-01-10,74200.0
2000-01-11,-49800.0
2000-01-12,47800.0
2000-01-13,-15000.0
2000-01-14,-8400.0
2000-01-15,31400.0
2000-01-17,14000.0
2000-01-18,-4400.0
2000-01-19,-18600.0
2000-01-20,16800.0
2000-01-21,16200.0
2000-01-24,29600.0
2000-01-25,-9200.0
2000-01-26,54000.0
2000-01-27,1600.0
2000-01-28,14000.0
2000-01-29,-8200.0
2000-01-31,21600.0
2000-02-01,32600.0
2000-02-09,23800.0
2000-02-10,-800.0
2000-02-11,4400.0
2000-02-14,-37400.0
2000-02-15,1600.0
2000-02-16,20400.0
2000-02-17,40600.0
2000-02-18,-26600.0
2000-02-19,25200.0
2000-02-21,-53200.0
2000-02-22,-29000.0
2000-02-23,-34800.0
2000-02-24,7800.0
2000-02-25,-27600.0
2000-02-29,5600.0
2000-03-01,43000.0
2000-03-02,-30400.0
2000-03-03,13400.0
2000-03-04,-17000.0
2000-03-06,-30000.0
2000-03-07,8000.0
2000-03-08,-9000.0
2000-03-09,33400.0
2000-03-10,-33400.0
2000-03-13,-133200.0
2000-03-14,-1200.0
2000-03-15,-51600.0
2000-03-16,14800.0
2000-03-17,-20000.0
2000-03-20,-59800.0
2000-03-21,115600.0
2000-03-22,46400.0
2000-03-23,112200.0
2000-03-24,-18200.0
2000-03-27,58000.0
2000-03-28,6200.0
2000-03-29,-3600.0
2000-03-30,27000.0
2000-03-31,-13600.0
2000-04-01,46800.0
2000-04-05,40600.0
2000-04-06,-68400.0
2000-04-07,13800.0
2000-04-08,-7000.0
2000-04-10,43600.0
2000-04-11,-16200.0
2000-04-12,-46200.0
2000-04-13,-46000.0
2000-04-14,-80400.0
2000-04-15,-123600.0
2000-04-17,60600.0
2000-04-18,59800.0
2000-04-19,-42400.0
2000-04-20,23800.0
2000-04-21,-15400.0
2000-04-24,-63200.0
2000-04-25,36800.0
2000-04-26,-104000.0
2000-04-27,29800.0
2000-04-28,44200.0
2000-04-29,-4400.0
2000-05-02,-28800.0
2000-05-03,-33200.0
2000-05-04,-1800.0
2000-05-05,58200.0
2000-05-06,-8000.0
2000-05-08,-10000.0
2000-05-09,9600.0
2000-05-10,-31400.0
2000-05-11,-30800.0
2000-05-12,30600.0
2000-05-15,-16000.0
2000-05-16,51000.0
2000-05-17,63000.0
2000-05-18,3000.0
2000-05-19,26000.0
2000-05-20,-78600.0
2000-05-22,-2800.0
2000-05-23,-16000.0
2000-05-24,-34200.0
2000-05-25,-2400.0
2000-05-26,12600.0
2000-05-29,1600.0
2000-05-30,35800.0
2000-05-31,31000.0
2000-06-01,-11000.0
2000-06-02,1000.0
2000-06-03,22600.0
2000-06-05,1600.0
2000-06-07,26800.0
2000-06-08,-12200.0
2000-06-09,-5200.0
2000-06-12,-16000.0
2000-06-13,-23800.0
2000-06-14,15200.0
2000-06-15,-17000.0
2000-06-16,4800.0
2000-06-17,-11000.0
2000-06-19,-7000.0
2000-06-20,-22800.0
2000-06-21,-6000.0
2000-06-22,50000.0
2000-06-23,-20000.0
2000-06-26,-32000.0
2000-06-27,-13000.0
2000-06-28,-11200.0
2000-06-29,-69800.0
2000-06-30,12000.0
2000-07-03,10000.0
2000-07-04,-46800.0
2000-07-05,64600.0
2000-07-06,-23800.0
2000-07-07,-17800.0
2000-07-10,-1600.0
2000-07-11,3400.0
2000-07-12,-14000.0
2000-07-13,39600.0
2000-07-14,32200.0
2000-07-15,2200.0
2000-07-17,8000.0
2000-07-18,-34000.0
2000-07-19,13000.0
2000-07-20,-34000.0
2000-07-21,1000.0
2000-07-24,-20400.0
2000-07-25,-45600.0
2000-07-26,13400.0
2000-07-27,200.0
2000-07-28,30000.0
2000-07-29,-9000.0
2000-07-31,-6200.0
2000-08-01,-16000.0
2000-08-02,-1800.0
2000-08-03,-13600.0
2000-08-04,11000.0
2000-08-05,-18200.0
2000-08-07,-14800.0
2000-08-08,10400.0
2000-08-09,46600.0
2000-08-10,-4600.0
2000-08-11,-13400.0
2000-08-14,-23800.0
2000-08-15,3800.0
2000-08-16,24000.0
2000-08-17,39000.0
2000-08-18,-6400.0
2000-08-19,19600.0
2000-08-21,-1200.0
2000-08-22,-19000.0
2000-08-24,2000.0
2000-08-25,-14600.0
2000-08-28,-38200.0
2000-08-29,-2600.0
2000-08-30,-62600.0
2000-08-31,12000.0
2000-09-01,-37000.0
2000-09-02,55000.0
2000-09-04,15000.0
2000-09-05,-5000.0
2000-09-06,-34000.0
2000-09-07,-23000.0
2000-09-08,-6400.0
2000-09-11,-11600.0
2000-09-13,8000.0
2000-09-14,-56800.0
2000-09-15,9800.0
2000-09-16,-26800.0
2000-09-18,-28200.0
2000-09-19,-35200.0
2000-09-20,22200.0
2000-09-21,12200.0
2000-09-22,-82200.0
2000-09-25,28800.0
2000-09-26,29400.0
2000-09-27,-6600.0
2000-09-28,-31800.0
2000-09-29,-27800.0
2000-09-30,-50000.0
2000-10-02,-20200.0
2000-10-03,22600.0
2000-10-04,-43800.0
2000-10-05,12400.0
2000-10-06,80800.0
2000-10-07,-15800.0
2000-10-09,-45000.0
2000-10-11,-43400.0
2000-10-12,-54600.0
2000-10-13,36600.0
2000-10-16,-82400.0
2000-10-17,48400.0
2000-10-18,-80000.0
2000-10-19,-25800.0
2000-10-20,72600.0
2000-10-21,19600.0
2000-10-23,2000.0
2000-10-24,50000.0
2000-10-25,10400.0
2000-10-26,-19400.0
2000-10-27,-35000.0
2000-10-30,-20000.0
2000-10-31,-9000.0
2000-11-01,-19000.0
2000-11-02,63000.0
2000-11-03,24000.0
2000-11-04,-41000.0
2000-11-06,6000.0
2000-11-07,48000.0
2000-11-08,32400.0
2000-11-09,15600.0
2000-11-10,2000.0
2000-11-13,-71000.0
2000-11-14,8000.0
2000-11-15,-13000.0
2000-11-16,-91200.0
2000-11-17,-8800.0
2000-11-18,-40000.0
2000-11-20,-71800.0
2000-11-21,66600.0
2000-11-22,-13000.0
2000-11-23,37000.0
2000-11-24,57200.0
2000-11-27,-6000.0
2000-11-28,-35000.0
2000-11-29,6600.0
2000-11-30,-29400.0
2000-12-01,51800.0
2000-12-02,-35800.0
2000-12-04,-9200.0
2000-12-05,6800.0
2000-12-06,-16800.0
2000-12-07,14000.0
2000-12-08,13000.0
2000-12-11,4000.0
2000-12-12,12000.0
2000-12-13,8000.0
2000-12-14,-21000.0
2000-12-15,-24800.0
2000-12-16,-13000.0
2000-12-18,-7600.0
2000-12-19,-9600.0
2000-12-20,-33400.0
2000-12-21,-39200.0
2000-12-22,34000.0
2000-12-26,-33800.0
2000-12-27,-24600.0
2000-12-28,60400.0
2000-12-29,-32000.0
2000-12-30,12600.0
2001-01-02,24400.0
2001-01-03,-4400.0
2001-01-04,50200.0
2001-01-05,43800.0
2001-01-08,-28800.0
2001-01-09,40800.0
2001-01-10,1600.0
2001-01-11,-13600.0
2001-01-12,7600.0
2001-01-15,5800.0
2001-01-16,67800.0
2001-01-17,11200.0
2001-01-18,29400.0
2001-01-29,-58200.0
2001-01-30,32200.0
2001-01-31,26400.0
2001-02-01,-10200.0
2001-02-02,23800.0
2001-02-05,-21600.0
2001-02-06,-14800.0
2001-02-07,-30800.0
2001-02-08,18600.0
2001-02-09,-4200.0
2001-02-12,13000.0
2001-02-13,44000.0
2001-02-14,-40000.0
2001-02-15,51000.0
2001-02-16,-14000.0
2001-02-19,-16400.0
2001-02-20,2600.0
2001-02-21,5000.0
2001-02-22,-42400.0
2001-02-23,-4600.0
2001-02-26,2800.0
2001-02-27,-19000.0
2001-03-01,-25800.0
2001-03-02,-6200.0
2001-03-05,22800.0
2001-03-06,2600.0
2001-03-07,20200.0
2001-03-08,-4600.0
2001-03-09,-16000.0
2001-03-12,-19000.0
2001-03-13,19200.0
2001-03-14,4000.0
2001-03-15,25800.0
2001-03-16,-4000.0
2001-03-19,-24000.0
2001-03-20,7000.0
2001-03-21,-8600.0
2001-03-22,23600.0
2001-03-23,12600.0
2001-03-26,17200.0
2001-03-27,-6200.0
2001-03-28,-7600.0
2001-03-29,8000.0
2001-03-30,-15000.0
2001-04-02,-34800.0
2001-04-03,-30200.0
2001-04-04,-200.0
2001-04-06,12200.0
2001-04-09,-22200.0
2001-04-10,-19600.0
2001-04-11,34800.0
2001-04-12,5000.0
2001-04-13,-11800.0
2001-04-16,-7600.0
2001-04-17,3400.0
2001-04-18,17400.0
2001-04-19,20200.0
2001-04-20,-8000.0
2001-04-23,11200.0
2001-04-24,-4600.0
2001-04-25,-19200.0
2001-04-26,7000.0
2001-04-27,-24200.0
2001-04-30,-1800.0
2001-05-02,-16200.0
2001-05-03,16400.0
2001-05-04,-40800.0
2001-05-07,8200.0
2001-05-08,-7800.0
2001-05-09,-1200.0
2001-05-10,-12200.0
2001-05-11,15600.0
2001-05-14,-7000.0
2001-05-15,-4000.0
2001-05-16,-21000.0
2001-05-17,14000.0
2001-05-18,-12200.0
2001-05-21,-21400.0
2001-05-22,2200.0
2001-05-23,46400.0
2001-05-24,-400.0
2001-05-25,-8200.0
2001-05-28,-14400.0
2001-05-29,400.0
2001-05-30,-2000.0
2001-05-31,-3400.0
2001-06-01,-10800.0
2001-06-04,-200.0
2001-06-05,12800.0
2001-06-06,20000.0
2001-06-07,-7800.0
2001-06-08,17000.0
2001-06-11,9800.0
2001-06-12,-8800.0
2001-06-13,-10400.0
2001-06-14,-10600.0
