,0
2007-10-08,0.0
2007-10-09,-38250.0
2007-10-11,38800.0
2007-10-12,-39800.0
2007-10-15,-7600.0
2007-10-16,15400.0
2007-10-17,-12400.0
2007-10-18,0.0
2007-10-19,-3600.0
2007-10-22,-73000.0
2007-10-23,22400.0
2007-10-24,14200.0
2007-10-25,24000.0
2007-10-26,22000.0
2007-10-29,37800.0
2007-10-30,-25800.0
2007-10-31,-24000.0
2007-11-01,-33600.0
2007-11-02,-89000.0
2007-11-05,1800.0
2007-11-06,10600.0
2007-11-07,6200.0
2007-11-08,-84000.0
2007-11-09,34000.0
2007-11-12,-72800.0
2007-11-13,31200.0
2007-11-14,45600.0
2007-11-15,-14000.0
2007-11-16,-35200.0
2007-11-19,-56800.0
2007-11-20,-5400.0
2007-11-21,-46400.0
2007-11-22,9800.0
2007-11-23,-40800.0
2007-11-26,54200.0
2007-11-27,-30600.0
2007-11-28,-37800.0
2007-11-29,49000.0
2007-11-30,45000.0
2007-12-03,15800.0
2007-12-04,-3800.0
2007-12-05,1400.0
2007-12-06,21000.0
2007-12-07,200.0
2007-12-10,-24200.0
2007-12-11,28000.0
2007-12-12,-18000.0
2007-12-13,-89400.0
2007-12-14,2200.0
2007-12-17,-64200.0
2007-12-18,-5800.0
2007-12-19,33000.0
2007-12-20,-35200.0
2007-12-21,25200.0
2007-12-24,34800.0
2007-12-25,6000.0
2007-12-26,10400.0
2007-12-27,31600.0
2007-12-28,14000.0
2007-12-31,26200.0
2008-01-02,-30200.0
2008-01-03,-17400.0
2008-01-04,42400.0
2008-01-07,-43000.0
2008-01-08,54600.0
2008-01-09,44600.0
2008-01-10,200.0
2008-01-11,-42400.0
2008-01-14,127600.0
2008-01-15,47400.0
2008-01-16,-68400.0
2008-01-17,-73400.0
2008-01-18,10200.0
2008-01-21,-17200.0
2008-01-22,-143200.0
2008-01-23,-33200.0
2008-01-24,38200.0
2008-01-25,28400.0
2008-01-28,-58200.0
2008-01-29,-23200.0
2008-01-30,-18400.0
2008-01-31,-30800.0
2008-02-01,67200.0
2008-02-12,15800.0
2008-02-13,6600.0
2008-02-14,82600.0
2008-02-15,-15000.0
2008-02-18,4000.0
2008-02-19,28000.0
2008-02-20,-37000.0
2008-02-21,38800.0
2008-02-22,2200.0
2008-02-25,64200.0
2008-02-26,-6200.0
2008-02-27,17800.0
2008-02-29,23600.0
2008-03-03,15800.0
2008-03-04,77000.0
2008-03-05,27800.0
2008-03-06,-16000.0
2008-03-07,-43000.0
2008-03-10,-42600.0
2008-03-11,25800.0
2008-03-12,8600.0
2008-03-13,-83200.0
2008-03-14,-13800.0
2008-03-17,-13000.0
2008-03-18,25800.0
2008-03-19,31600.0
2008-03-20,41800.0
2008-03-21,88400.0
2008-03-24,78800.0
2008-03-25,-65400.0
2008-03-26,13200.0
2008-03-27,-43800.0
2008-03-28,23200.0
2008-03-31,-34200.0
2008-04-01,-91800.0
2008-04-02,38000.0
2008-04-03,-9400.0
2008-04-07,43000.0
2008-04-08,-7200.0
2008-04-09,22000.0
2008-04-10,36200.0
2008-04-11,7000.0
2008-04-14,24000.0
2008-04-15,400.0
2008-04-16,33800.0
2008-04-17,-19000.0
2008-04-18,26800.0
2008-04-21,-24000.0
2008-04-22,-21000.0
2008-04-23,-11000.0
2008-04-24,2800.0
2008-04-25,-11400.0
2008-04-28,30400.0
2008-04-29,-62400.0
2008-04-30,-3800.0
2008-05-02,15600.0
2008-05-05,-21200.0
2008-05-06,-13400.0
2008-05-07,13200.0
2008-05-08,14400.0
2008-05-09,-17400.0
2008-05-12,21400.0
2008-05-13,40600.0
2008-05-14,600.0
2008-05-15,39600.0
2008-05-16,4800.0
2008-05-19,60800.0
2008-05-20,-72800.0
2008-05-21,-14800.0
2008-05-22,-9000.0
2008-05-23,-40600.0
2008-05-26,-10600.0
2008-05-27,17000.0
2008-05-28,-48600.0
2008-05-29,10200.0
2008-05-30,-37400.0
2008-06-02,12000.0
2008-06-03,-41200.0
2008-06-04,8600.0
2008-06-05,32400.0
2008-06-06,9400.0
2008-06-09,-38200.0
2008-06-10,-53600.0
2008-06-11,-11400.0
2008-06-12,-74600.0
2008-06-13,2600.0
2008-06-16,32000.0
2008-06-17,8800.0
2008-06-18,21200.0
2008-06-19,-90200.0
2008-06-20,-56200.0
2008-06-23,-16800.0
2008-06-24,-18000.0
2008-06-25,-4000.0
2008-06-26,-1000.0
2008-06-27,-73600.0
2008-06-30,5200.0
2008-07-01,-37000.0
2008-07-02,1200.0
2008-07-03,8800.0
2008-07-04,-58400.0
2008-07-07,56400.0
2008-07-08,-67400.0
2008-07-09,23000.0
2008-07-10,17400.0
2008-07-11,30600.0
2008-07-14,-7000.0
2008-07-15,-99200.0
2008-07-16,-15600.0
2008-07-17,-4400.0
2008-07-18,-49600.0
2008-07-21,61400.0
2008-07-22,7600.0
2008-07-23,89800.0
2008-07-24,19000.0
2008-07-25,-22400.0
2008-07-29,-63600.0
2008-07-30,26000.0
2008-07-31,-1400.0
2008-08-01,-24600.0
2008-08-04,-10000.0
2008-08-05,-67800.0
2008-08-06,34000.0
2008-08-07,-9200.0
2008-08-08,23800.0
2008-08-11,5600.0
2008-08-12,-22600.0
2008-08-13,6400.0
2008-08-14,26000.0
2008-08-15,-33400.0
2008-08-18,-55200.0
2008-08-19,-10400.0
2008-08-20,25400.0
2008-08-21,-29000.0
2008-08-22,-1600.0
2008-08-25,40000.0
2008-08-26,-32400.0
2008-08-27,13000.0
2008-08-28,-1000.0
2008-08-29,9400.0
2008-09-01,-31000.0
2008-09-02,-15200.0
2008-09-03,-40200.0
2008-09-04,-43600.0
2008-09-05,-55000.0
2008-09-08,84000.0
2008-09-09,-48200.0
2008-09-10,3800.0
2008-09-11,-49600.0
2008-09-12,14000.0
2008-09-15,-61800.0
2008-09-16,-76000.0
2008-09-17,5800.0
2008-09-18,-41800.0
2008-09-19,88600.0
2008-09-22,45400.0
2008-09-23,5600.0
2008-09-24,4600.0
2008-09-25,-27200.0
2008-09-26,-46600.0
2008-09-30,-56600.0
2008-10-01,33200.0
2008-10-02,400.0
2008-10-03,-4000.0
2008-10-06,-39800.0
2008-10-07,3800.0
2008-10-08,-76800.0
2008-10-09,-3000.0
2008-10-13,-29800.0
2008-10-14,80200.0
2008-10-15,2000.0
2008-10-16,-52000.0
2008-10-17,-32400.0
2008-10-20,-4200.0
2008-10-21,12600.0
2008-10-22,-33000.0
2008-10-23,-35200.0
2008-10-24,-38400.0
2008-10-27,-74400.0
2008-10-28,61200.0
2008-10-29,-400.0
2008-10-30,73400.0
2008-10-31,76600.0
2008-11-03,58400.0
2008-11-04,-7400.0
2008-11-05,-11600.0
2008-11-06,-72600.0
2008-11-07,27200.0
2008-11-10,40000.0
2008-11-11,-30000.0
2008-11-12,-9000.0
2008-11-13,-36600.0
2008-11-14,31600.0
2008-11-17,14400.0
2008-11-18,-7800.0
2008-11-19,-21000.0
2008-11-20,-84400.0
2008-11-21,30800.0
2008-11-24,-17200.0
2008-11-25,14000.0
2008-11-26,17000.0
2008-11-27,43200.0
2008-11-28,-8200.0
2008-12-01,19400.0
2008-12-02,-35400.0
2008-12-03,3400.0
2008-12-04,-30400.0
2008-12-05,-2600.0
2008-12-08,59400.0
2008-12-09,-11800.0
2008-12-10,24400.0
2008-12-11,-8800.0
2008-12-12,-30200.0
2008-12-15,19200.0
2008-12-16,-19400.0
2008-12-17,23800.0
2008-12-18,21600.0
2008-12-19,-11400.0
2008-12-22,-41000.0
2008-12-23,-33000.0
2008-12-24,2000.0
2008-12-25,3200.0
2008-12-26,-2400.0
2008-12-29,3000.0
2008-12-30,25800.0
2008-12-31,-7600.0
2009-01-05,8600.0
2009-01-06,29800.0
2009-01-07,16000.0
2009-01-08,-54200.0
2009-01-09,-2800.0
2009-01-10,-10400.0
2009-01-12,10800.0
2009-01-13,-6000.0
2009-01-14,4200.0
2009-01-15,-70800.0
2009-01-16,12000.0
2009-01-17,16200.0
2009-01-19,-5200.0
2009-01-20,-28400.0
2009-01-21,7600.0
2009-02-02,-36800.0
2009-02-03,29800.0
2009-02-04,16800.0
2009-02-05,-7200.0
2009-02-06,22600.0
2009-02-09,-3600.0
2009-02-10,7800.0
2009-02-11,7600.0
2009-02-12,-15000.0
2009-02-13,22800.0
2009-02-16,-8800.0
2009-02-17,-400.0
2009-02-18,3600.0
2009-02-19,-29000.0
2009-02-20,-17000.0
2009-02-23,12600.0
2009-02-24,-15000.0
2009-02-25,19800.0
2009-02-26,-2400.0
2009-02-27,7400.0
2009-03-02,-42200.0
2009-03-03,-8800.0
2009-03-04,30800.0
2009-03-05,23800.0
2009-03-06,-13400.0
2009-03-09,19000.0
2009-03-10,14600.0
2009-03-11,38000.0
2009-03-12,-3600.0
2009-03-13,31800.0
2009-03-16,27600.0
2009-03-17,26800.0
2009-03-18,-6400.0
2009-03-19,-23000.0
2009-03-20,18000.0
2009-03-23,35400.0
2009-03-24,30200.0
2009-03-25,12400.0
2009-03-26,-2200.0
2009-03-27,-14200.0
2009-03-30,-41800.0
2009-03-31,11800.0
2009-04-01,31800.0
2009-04-02,54400.0
2009-04-03,0.0
2009-04-06,8600.0
2009-04-07,12400.0
2009-04-08,-18200.0
2009-04-09,54000.0
2009-04-10,44800.0
2009-04-13,11000.0
2009-04-14,-13200.0
2009-04-15,4800.0
2009-04-16,29400.0
2009-04-17,-60800.0
2009-04-20,-16600.0
2009-04-21,42400.0
2009-04-22,-14000.0
2009-04-23,13000.0
2009-04-24,-2600.0
2009-04-27,-39400.0
2009-04-28,-52800.0
2009-04-29,17800.0
2009-04-30,94800.0
2009-05-04,101200.0
2009-05-05,15200.0
2009-05-06,6200.0
2009-05-07,28600.0
2009-05-08,-14600.0
2009-05-11,11400.0
2009-05-12,-23000.0
2009-05-13,-4600.0
2009-05-14,-25600.0
2009-05-15,31200.0
2009-05-18,24400.0
2009-05-19,10200.0
2009-05-20,-11400.0
2009-05-21,-2000.0
